2026-05-02 15:36:52,771 | INFO | recomart_sql_runner | ================================================================================
2026-05-02 15:36:52,771 | INFO | recomart_sql_runner | Running statement 14/15
2026-05-02 15:36:52,771 | INFO | recomart_sql_runner | SQL preview: INSERT INTO OPS.INGESTION_AUDIT_LOG ( BATCH_ID, SOURCE_SYSTEM, SOURCE_NAME, SOURCE_PATH, TARGET_TABLE, FILE_NAME, ROWS_LOADED, ROWS_FAILED, INGESTION_STATUS, ERROR_MESSAGE, START_TS, END_TS ) SELECT $LOAD_BATCH_ID, 'DUMMYJSON_API', 'external_products', 's3://recomartdatalake/raw/external_api/dummyjs
2026-05-02 15:36:53,206 | INFO | recomart_sql_runner | Statement 14 completed successfully
2026-05-02 15:36:53,207 | INFO | recomart_sql_runner | Statement 14: result preview columns=['number of rows inserted']
2026-05-02 15:36:53,207 | INFO | recomart_sql_runner | Statement 14: row=(1,)
2026-05-02 15:36:53,207 | INFO | recomart_sql_runner | ================================================================================
2026-05-02 15:36:53,207 | INFO | recomart_sql_runner | Running statement 15/15
2026-05-02 15:36:53,207 | INFO | recomart_sql_runner | SQL preview: SELECT 'RAW_RECOMART_EVENTS' AS TABLE_NAME, $LOAD_BATCH_ID AS BATCH_ID, COUNT(*) AS ROW_COUNT FROM RAW.RAW_RECOMART_EVENTS WHERE BATCH_ID = $LOAD_BATCH_ID UNION ALL SELECT 'RAW_RECOMART_ITEM_PROPERTIES' AS TABLE_NAME, $LOAD_BATCH_ID AS BATCH_ID, COUNT(*) AS ROW_COUNT FROM RAW.RAW_RECOMART_ITEM_PROPE
2026-05-02 15:36:53,729 | INFO | recomart_sql_runner | Statement 15 completed successfully
2026-05-02 15:36:53,730 | INFO | recomart_sql_runner | Statement 15: result preview columns=['TABLE_NAME', 'BATCH_ID', 'ROW_COUNT']
2026-05-02 15:36:53,730 | INFO | recomart_sql_runner | Statement 15: row=('RAW_RECOMART_EVENTS', '20260502030618', 5512202)
2026-05-02 15:36:53,730 | INFO | recomart_sql_runner | Statement 15: row=('RAW_RECOMART_ITEM_PROPERTIES', '20260502030618', 40551804)
2026-05-02 15:36:53,730 | INFO | recomart_sql_runner | Statement 15: row=('RAW_RECOMART_CATEGORY_TREE', '20260502030618', 3338)
